country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
Chad,8355654,8678051,9019233,9373916,9734767,10096633,10457124,10818024,11183588,11560147,11952136,12360989,12784750,13220424,13663559,14110975,14561666,15016773,15477751,15946876,16426000,16915000,17414000,17921000,18437000,18961000,19491000,20030000,20576000,21129000,21690000,22259000,22834000,23415000,24003000,24597000
Channel Islands,148443,149097,149596,150068,150716,151678,153008,154636,156433,158178,159734,160998,162056,163038,164100,165385,166923,168665,170499,172259,174000,175000,176000,178000,179000,180000,181000,182000,183000,184000,185000,186000,187000,188000,189000,190000
Chile,15342353,15516113,15684409,15849652,16014971,16182721,16354504,16530195,16708258,16886186,17062536,17233576,17400347,17571507,17758959,17969353,18209068,18470439,18729160,18952038,19116000,19212000,19250000,19249000,19239000,19241000,19260000,19293000,19338000,19394000,19458000,19533000,19618000,19710000,19798000,19879000
China,1262645000,1271850000,1280400000,1288400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1344130000,1350695000,1357380000,1364270000,1371220000,1378665000,1386395000,1392730000,1397715000,1402667000,1407121000,1411033000,1414411000,1417282000,1419677000,1421624000,1423147000,1424258000,1424957000,1425238000,1425092000,1424518000,1423531000,1422164000,1420455000
Colombia,39629965,40255956,40875363,41483872,42075953,42647731,43200901,43737512,44254972,44750054,45222699,45662747,46075721,46495492,46967706,47520667,48175048,48909844,49661056,50339443,50883000,51266000,51513000,51673000,51820000,52007000,52249000,52530000,52835000,53136000,53417000,53674000,53914000,54139000,54350000,54549000
Comoros,542357,555888,569479,583211,597228,611627,626425,641620,657229,673252,689692,706569,723871,741505,759390,777424,795592,813892,832322,850886,870000,888000,907000,927000,946000,965000,984000,1004000,1024000,1043000,1063000,1083000,1103000,1123000,1143000,1164000
Democratic Republic of the Congo,47105826,48428545,49871666,51425580,53068880,54785903,56578037,58453683,60411195,62448574,64563854,66755153,69020747,71358807,73767447,76244544,78789127,81398764,84068091,86790567,89561000,92378000,95241000,98152000,101115000,104134000,107206000,110332000,113514000,116751000,120047000,123400000,126808000,130270000,133780000,137337000
Congo,3127411,3217933,3310387,3406922,3510468,3622775,3745141,3876119,4011486,4145391,4273731,4394844,4510198,4622761,4736974,4856095,4980999,5110702,5244363,5380508,5518000,5657000,5798000,5941000,6086000,6235000,6386000,6540000,6697000,6857000,7020000,7185000,7353000,7523000,7696000,7871000
Costa Rica,3962372,4034074,4100925,4164053,4225155,4285502,4345412,4404628,4463125,4520740,4577378,4633086,4688000,4742107,4795396,4847804,4899345,4949954,4999441,5047561,5094000,5139000,5182000,5224000,5264000,5302000,5339000,5373000,5406000,5438000,5468000,5497000,5524000,5550000,5575000,5598000
Cote d'Ivoire,16454668,16853026,17231539,17599610,17970494,18354514,18754916,19171237,19605569,20059147,20532950,21028655,21547188,22087505,22647683,23226143,23822714,24437469,25069229,25716544,26378000,27054000,27742000,28444000,29160000,29888000,30630000,31384000,32150000,32926000,33713000,34508000,35313000,36127000,36950000,37783000
Croatia,4468302,4299642,4302174,4303399,4304600,4310145,4311159,4310217,4309705,4305181,4295427,4280622,4267558,4255689,4238389,4203604,4174349,4124531,4087843,4067500,4043000,4021000,3999000,3978000,3957000,3936000,3914000,3891000,3868000,3845000,3822000,3798000,3773000,3748000,3723000,3697000
Cuba,11126430,11164667,11199651,11229183,11250365,11261582,11261248,11251122,11236971,11226709,11225832,11236670,11257101,11282720,11306902,11324781,11335109,11339259,11338138,11333483,11327000,11318000,11306000,11291000,11275000,11257000,11237000,11216000,11193000,11169000,11142000,11114000,11084000,11052000,11017000,10981000
Curacao,133860,129047,129205,131897,134192,137658,141239,144056,145880,146833,148703,150831,152088,153822,155909,157980,159664,160175,159800,157538,158000,159000,160000,160000,161000,162000,162000,163000,163000,164000,164000,165000,165000,165000,166000,166000
Cyprus,943290,960276,976964,993563,1010408,1027662,1045507,1063713,1081563,1098083,1112612,1124833,1135046,1143866,1152285,1160985,1170187,1179680,1189265,1198575,1207000,1216000,1223000,1231000,1238000,1245000,1251000,1257000,1263000,1269000,1275000,1280000,1286000,1291000,1296000,1301000
Czech Republic,10255063,10216605,10196916,10193998,10197101,10211216,10238905,10298828,10384603,10443936,10474410,10496088,10510785,10514272,10525347,10546059,10566332,10594438,10629928,10669709,10688000,10702000,10713000,10720000,10723000,10724000,10722000,10717000,10709000,10699000,10686000,10672000,10657000,10641000,10625000,10609000
Denmark,5339616,5358783,5375931,5390574,5404523,5419432,5437272,5461438,5493621,5523095,5547683,5570572,5591572,5614932,5643475,5683483,5728010,5764980,5793636,5818553,5838000,5859000,5880000,5902000,5922000,5943000,5962000,5980000,5997000,6013000,6029000,6045000,6060000,6075000,6090000,6104000
Djibouti,717584,733015,746942,759641,771603,783254,794563,805451,816358,827823,840198,853674,868136,883293,898696,913993,929112,944097,958920,973560,988000,1002000,1016000,1030000,1043000,1056000,1069000,1081000,1093000,1105000,1117000,1128000,1139000,1150000,1160000,1170000
Dominica,69650,69661,69837,70100,70382,70589,70718,70795,70827,70851,70878,70916,70965,71016,71085,71183,71307,71458,71625,71808,72000,72000,72000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000
Dominican Republic,8471321,8598601,8724975,8850317,8974444,9097257,9218686,9338861,9458075,9576737,9695121,9813210,9930911,10048224,10165178,10281680,10397743,10513131,10627165,10738958,10848000,10954000,11056000,11156000,11252000,11346000,11437000,11525000,11609000,11691000,11770000,11847000,11921000,11992000,12060000,12126000
Early-demographic dividend,2472852818,2516662231,2560101445,2603300732,2646483566,2689792046,2733278833,2776922496,2820636594,2864298836,2907916908,2951429046,2994364055,3037111090,3079708551,3122156905,3164386912,3206361028,3248239444,3290290613,3331962000,3373539000,3414956000,3456045000,3496561000,3536347000,3575317000,3613481000,3650860000,3687506000,3723453000,3758692000,3793180000,3826902000,3859837000,3891987000
East Asia & Pacific,2047640119,2065912076,2083186112,2099602439,2115458616,2131146832,2146744075,2161785573,2177119142,2192059415,2206884624,2221673110,2236819053,2252046977,2267482299,2282855831,2298486142,2314097713,2328138066,2340628292,2352512000,2363748000,2374266000,2384070000,2393166000,2401594000,2409373000,2416528000,2423058000,2428959000,2434224000,2438840000,2442812000,2446148000,2448878000,2451053000
East Asia & Pacific (excluding high income),1816455805,1833423014,1849607538,1865132706,1880248895,1895275474,1909891462,1924018226,1938057249,1952017409,1965954304,1980035609,1994391099,2008921191,2023597462,2038190036,2053103802,2068142784,2081639097,2093675040,2105558000,2116828000,2127426000,2137357000,2146637000,2155296000,2163358000,2170844000,2177756000,2184086000,2189823000,2194954000,2199478000,2203406000,2206764000,2209603000
East Asia & Pacific (IDA & IBRD countries),1793498351,1810261141,1826238744,1841560579,1856486252,1871341375,1885806859,1899800530,1913718210,1927560609,1941377349,1955334267,1969562739,1983964453,1998513398,2012980531,2027771091,2042687863,2056064424,2067984156,2079755000,2090917000,2101411000,2111243000,2120428000,2128997000,2136972000,2144376000,2151212000,2157472000,2163148000,2168225000,2172703000,2176593000,2179920000,2182736000
Ecuador,12681123,12914667,13143465,13369678,13596388,13825847,14059384,14296557,14535739,14774424,15011117,15243883,15474102,15707474,15951838,16212020,16491115,16785361,17084357,17373662,17643000,17888000,18113000,18324000,18531000,18741000,18955000,19172000,19390000,19606000,19819000,20028000,20233000,20436000,20635000,20832000
"Egypt, Arab Rep.",68831561,70152661,71485043,72826097,74172073,75523569,76873663,78232126,79636079,81134798,82761235,84529250,86422240,88404640,90424654,92442547,94447072,96442593,98423595,100388073,102334000,104258000,106157000,108032000,109887000,111728000,113554000,115367000,117176000,118995000,120832000,122689000,124568000,126469000,128393000,130340000
El Salvador,5887936,5927006,5962136,5994077,6023797,6052123,6079399,6105810,6131764,6157686,6183875,6210568,6237923,6266070,6295128,6325124,6356143,6388122,6420744,6453553,6486000,6518000,6550000,6582000,6613000,6643000,6673000,6701000,6729000,6755000,6779000,6800000,6819000,6837000,6853000,6869000
Equatorial Guinea,606181,631666,658384,686664,716949,749535,784496,821687,860840,901599,943639,986853,1031191,1076413,1122276,1168568,1215179,1262001,1308974,1355986,1403000,1450000,1497000,1543000,1590000,1637000,1684000,1732000,1779000,1827000,1874000,1920000,1966000,2013000,2059000,2106000
Eritrea,2292416,2374722,2481058,2600973,2719803,2826659,2918205,2996536,3062779,3119920,3170435,3213972,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
