country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Myanmar,0.58,0.57,0.54,0.51,0.49,0.46,0.43,0.41,0.37,0.34,0.31,0.3,0.29,0.28,0.27,0.26,0.24,0.22,0.2,0.19
Middle East & North Africa (excluding high income),0.037230943,0.039883658,0.03910693,0.039652391,0.040529264,0.039489488,0.039362724,0.036798634,0.038744662,0.038726152,0.038883792,0.037422537,0.038862113,0.038574276,0.038469086,0.042380956,0.039655015,0.042412368,0.042195908,0.044085567
Montenegro,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05
Mongolia,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,
Mozambique,8.3,8.37,8.23,8.01,7.83,7.62,7.51,7.17,7.13,7.02,7.19,6.83,6.49,6.34,6.05,5.78,5.56,5.21,4.93,4.68
Mauritania,,,,,,,,,,,,,,,,,,,,
Mauritius,0.92,1.11,1.2,1.22,1.17,1.09,1.02,0.93,0.85,0.78,0.72,0.62,0.54,0.5,0.49,0.49,0.51,0.54,0.56,0.57
Malawi,8.67,8.05,7.5,7,6.49,6,5.5,5.12,4.66,4.43,4.25,3.83,3.43,3.2,2.98,2.77,2.58,2.32,2.13,1.94
Malaysia,0.26,0.26,0.25,0.24,0.23,0.22,0.22,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.17,0.18,0.17,0.18,0.2
North America,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,
Namibia,11.22,10.29,9.45,8.8,8.33,7.62,7.02,6.55,6.16,6.01,5.7,5.42,5.14,4.79,4.18,4,3.73,3.59,3.31,3.1
New Caledonia,,,,,,,,,,,,,,,,,,,,
Niger,0.47,0.42,0.37,0.33,0.28,0.25,0.2,0.17,0.14,0.13,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.06,0.06
Nigeria,1.04,0.98,0.94,0.91,0.88,0.86,0.82,0.8,0.79,0.76,0.74,0.72,0.69,0.64,0.59,0.57,0.55,0.53,0.53,0.52
Nicaragua,0.19,0.18,0.15,0.13,0.13,0.13,0.13,0.13,0.13,0.11,0.1,0.1,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.06
Netherlands,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.04,0.04,0.03,0.03,0.02,0.02
Norway,,,,,,,,,,,,,,,,,,,,
Nepal,0.2,0.19,0.18,0.17,0.16,0.15,0.13,0.11,0.1,0.09,0.08,0.07,0.06,0.05,0.05,0.04,0.04,0.03,0.03,0.03
Nauru,,,,,,,,,,,,,,,,,,,,
New Zealand,0.02,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03
OECD members,,,,,,,,,,,,,,,,,,,,
Oman,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04
Other small states,7.820723873,7.202538714,6.663270018,6.198793427,5.826560378,5.459527908,5.138997431,4.935899576,4.758883742,4.526189017,4.290143509,4.069125222,3.812328761,3.551022087,3.287763832,3.043802991,2.807956755,2.590638119,2.37103936,2.240490942
Pakistan,0.01,0.01,0.01,0.01,0.01,0.06,0.06,0.07,0.08,0.09,0.08,0.08,0.09,0.09,0.09,0.1,0.1,0.1,0.11,0.12
Panama,,,,,,,,,,,,,,,,,,,,
Peru,0.17,0.17,0.17,0.16,0.16,0.16,0.17,0.16,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.11,0.1
Philippines,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.05,0.06,0.06,0.08,0.09,0.1,0.11,0.12,0.13,0.14
Palau,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,0.57,0.65,0.68,0.66,0.6,0.53,0.45,0.4,0.37,0.35,0.35,0.35,0.36,0.37,0.37,0.39,0.39,0.4,0.4,0.38
Poland,,,,,,,,,,,,,,,,,,,,
Pre-demographic dividend,2.202157008,2.087383616,1.976029501,1.877909105,1.778447297,1.693029036,1.615719858,1.539477032,1.46396735,1.401645807,1.346064719,1.270429904,1.191526293,1.124056159,1.054378303,0.98715182,0.936856975,0.879636753,0.825002731,0.774220001
Puerto Rico,,,,,,,,,,,,,,,,,,,,
Democratic People's Republic of Korea,,,,,,,,,,,,,,,,,,,,
Portugal,,,,,,,,,,,,,,,,,,,,
Paraguay,0.46,0.43,0.4,0.3,0.25,0.24,0.23,0.21,0.21,0.22,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.16,0.16
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,
Pacific island small states,,,,,,,,,,,,,,,,,,,,
Post-demographic dividend,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,
Romania,0.06,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
Russian Federation,,,,,,,,,,,,,,,,,,,,
Rwanda,3,2.72,2.48,2.01,1.77,1.58,1.47,1.33,1.2,1.13,1.04,0.88,0.81,0.71,0.64,0.58,0.55,0.51,0.48,0.44
South Asia,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,
Sudan,0.16,0.17,0.17,0.17,0.17,0.15,0.13,0.13,0.12,0.12,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08
Senegal,0.58,0.57,0.53,0.49,0.45,0.4,0.35,0.3,0.24,0.21,0.19,0.17,0.15,0.13,0.13,0.11,0.11,0.1,0.1,0.09
Singapore,0.11,0.1,0.11,0.11,0.13,0.15,0.16,0.17,0.17,0.16,0.14,0.12,0.1,0.08,0.06,0.04,0.03,0.03,0.03,0.03
Solomon Islands,,,,,,,,,,,,,,,,,,,,
Sierra Leone,1.28,1.25,1.25,1.19,1.18,1.14,1.11,1.1,1.01,0.99,0.96,0.93,0.89,0.88,0.85,0.81,0.77,0.73,0.68,0.65
El Salvador,0.44,0.44,0.44,0.43,0.42,0.41,0.39,0.37,0.34,0.31,0.29,0.26,0.24,0.22,0.2,0.18,0.17,0.16,0.15,0.14
San Marino,,,,,,,,,,,,,,,,,,,,
Somalia,0.25,0.24,0.22,0.2,0.18,0.16,0.14,0.12,0.1,0.08,0.06,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03
Serbia,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Sub-Saharan Africa (excluding high income),3.167338991,3.010066463,2.855548098,2.710745971,2.577918981,2.455580361,2.340806118,2.21906477,2.090076241,1.967534642,1.853366713,1.718811356,1.587820876,1.470886712,1.367010793,1.260948757,1.179392307,1.094143245,1.004834232,0.93645403
South Sudan,1.85,1.82,1.71,1.69,1.66,1.63,1.57,1.54,1.55,1.54,1.51,1.51,1.52,1.51,1.51,1.46,1.47,1.46,1.46,1.5
Sub-Saharan Africa,3.163142775,3.006585513,2.852575832,2.708122903,2.575493688,2.453278378,2.338630119,2.21698943,2.088126892,1.965713548,1.851671543,1.717209567,1.586330462,1.469539894,1.365824666,1.259932617,1.178532915,1.093450024,1.004292099,0.936018937
